condominio,iptu,area,qtd_quartos,qtd_vagas,qtd_banheiros,aluguel
910,250,90,3,2,3,2800
209,250,43,2,1,1,750
180,250,60,3,1,2,950
800,250,84,3,2,3,2800
370,250,60,2,1,1,750
610,250,60,2,2,2,1600
255,250,50,2,1,1,800
570,250,60,2,2,2,2600
550,250,55,2,1,2,1090
264,250,55,2,2,2,2700
300,250,52,2,2,1,1500
70,250,68,2,1,2,800
350,250,49,2,1,2,900
386,250,48,2,1,1,1500
320,250,48,2,1,2,1200
480,120,70,3,1,3,2500
700,120,73,3,2,2,2350
220,400,49,2,1,2,1000
320,342,48,3,1,2,1000
280,400,56,2,1,1,950
550,400,75,2,1,2,2800
732,400,78,2,2,3,2100
784,400,129,3,1,3,1000
256,400,48,2,1,1,660
745,135,83,3,2,3,4000
350,400,110,3,2,3,700
190,220,40,2,1,1,850
750,400,94,3,2,2,2000
450,295,92,3,1,2,1300
550,400,48,2,1,1,850
430,120,76,3,1,2,700
817,192,120,3,1,3,1800
750,400,65,3,2,1,2300
651,400,53,2,1,3,950
820,1195,101,3,1,2,1300
473,120,55,2,2,2,1705
250,220,48,2,1,1,700
550,400,80,3,1,2,750
550,400,55,2,1,2,3200
564,120,52,2,1,2,3000
290,220,65,3,1,1,900
250,190,50,2,1,1,1350
300,120,57,2,1,2,890
390,400,108,2,2,1,2000
290,400,43,2,2,2,1000
280,400,55,2,1,2,1800
180,220,40,2,1,1,900
200,400,55,2,2,2,700
655,400,78,3,2,3,1600
190,400,58,2,1,2,850
600,100,84,3,2,3,2500
407,400,58,2,1,2,1300
400,400,90,3,2,3,2300
499,2280,70,3,2,2,2900
602,400,59,2,2,2,2500
390,400,60,3,1,2,1500
390,400,45,2,1,1,1609
300,94,73,2,1,2,2300
300,850,46,2,1,1,2500
650,1900,100,4,2,3,2250
440,400,98,2,2,2,900
760,120,60,2,1,2,1300
737,150,73,3,2,3,2205
1150,177,158,3,3,3,3000
550,120,36,1,1,1,900
130,400,65,3,1,2,755
360,400,72,3,1,2,1309
803,400,77,2,1,3,2500
550,400,85,3,2,3,1400
355,120,61,2,1,2,1500
900,400,119,3,2,3,4200
550,400,60,3,2,1,1100
550,400,65,3,1,2,900
550,400,72,3,1,1,1400
740,134,74,2,2,2,3300
110,400,55,1,1,2,1000
415,120,55,2,1,2,2250
230,390,58,2,1,2,2300
550,205,39,1,1,1,900
550,390,47,2,1,2,1500
550,390,70,1,1,2,580
300,390,43,2,2,2,890
250,390,55,2,1,1,1100
801,120,70,2,2,3,2400
550,390,50,2,1,1,1800
1150,176,150,3,2,3,2500
586,390,60,2,2,2,2000
353,390,65,2,1,2,2209
282,190,45,2,1,1,1100
400,390,86,2,1,2,850
500,390,100,3,1,3,1700
210,390,63,2,2,1,1200
848,165,65,2,1,2,2750
545,120,56,2,1,2,2000
422,390,75,2,2,2,1900
200,390,65,3,1,2,1005
509,390,70,2,1,2,850
188,120,72,2,1,1,1300
1000,100,65,2,1,2,3000
389,390,71,3,1,2,1400
550,100,65,2,2,2,900
250,390,48,2,1,1,850
320,120,62,3,2,2,1700
400,120,65,3,1,3,1600
363,945,72,3,2,2,2600
230,390,48,2,1,1,1100
203,390,40,2,1,1,950
341,300,60,3,1,2,990
250,390,87,3,2,3,800
250,390,64,2,2,3,1700
550,190,50,2,1,1,1609
250,390,70,2,1,2,800
250,250,45,1,1,1,1400
250,250,100,3,1,3,1100
250,250,130,3,2,3,1200
440,250,49,2,1,2,950
656,250,58,2,1,1,1509
300,250,60,3,1,1,950
500,120,84,3,1,2,1400
256,196,62,2,1,2,850
710,285,60,3,2,2,1200
350,250,48,2,1,1,890
350,1200,55,2,1,1,1200
250,250,52,2,1,2,900
803,250,77,2,1,3,2500
655,143,68,2,2,2,3500
400,250,100,3,1,2,1300
250,250,52,2,1,2,1050
726,250,73,3,1,2,1500
600,250,66,2,1,2,2600
200,450,70,3,1,2,1000
900,282,92,3,2,3,3650
300,250,45,2,1,1,1600
382,250,49,2,1,1,1000
250,250,64,3,2,3,1800
250,230,48,2,1,1,950
650,250,63,2,1,2,2250
522,111,66,3,1,2,1800
700,1200,66,2,1,2,5500
250,250,55,2,1,1,1200
250,250,64,2,1,2,1300
250,250,68,3,1,2,1300
600,120,62,2,1,2,2200
250,250,52,2,1,2,750
250,120,70,3,1,2,1100
678,120,70,2,1,2,1700
254,450,55,2,1,1,1000
300,250,57,3,1,2,1100
250,250,63,2,1,2,3000
471,609,64,3,2,2,1600
300,290,71,3,1,2,1200
429,120,62,3,2,2,1700
360,250,77,3,2,2,1300
600,250,120,3,2,3,1100
650,100,85,3,2,3,2500
379,120,53,2,1,2,2500
520,120,93,3,2,3,1500
710,100,70,2,2,2,2600
150,250,46,2,1,1,900
434,250,55,3,1,2,1400
250,250,74,2,2,1,4900
250,250,40,2,1,1,1409
471,120,65,2,2,2,2000
250,250,50,2,1,2,1709
250,120,62,2,1,2,800
250,250,91,3,3,2,2600
320,120,54,3,2,2,1400
550,250,82,2,1,1,1550
480,250,37,1,1,1,2400
353,250,65,2,1,2,2209
790,927,74,2,1,2,2500
491,250,120,3,1,2,1280
250,250,62,3,1,1,1600
250,100,50,2,1,1,750
548,250,61,2,1,2,2000
360,600,62,3,1,2,1100
600,250,72,2,1,2,2600
250,285,50,2,1,1,1300
547,250,106,3,2,3,3300
100,250,50,2,2,1,1200
333,250,50,2,1,2,905
842,120,72,2,2,2,2500
610,250,64,3,1,3,1100
491,250,65,2,1,2,2009
510,250,115,3,1,3,1750
530,120,70,3,1,3,900
150,293,57,2,1,2,1300
1186,1448,112,3,2,3,3500
669,120,70,3,1,2,2300
255,250,48,2,1,1,900
630,1135,94,3,2,3,1700
1000,120,130,3,2,3,3500
180,365,120,3,1,2,900
1079,2156,141,4,3,3,3950
355,250,50,2,1,1,1700
491,100,56,2,1,2,890
600,137,80,3,2,3,2600
490,250,72,3,2,2,2800
639,177,68,3,2,2,2700
608,250,59,2,2,3,2400
670,2319,80,3,2,3,2500
455,250,57,2,2,2,2100
580,250,66,3,2,2,1700
200,100,50,2,1,1,1250
600,150,65,2,2,2,1514
650,250,63,1,1,2,1800
650,250,81,2,1,3,1000
475,443,59,2,1,2,1200
364,469,48,2,2,2,1200
811,250,107,3,2,3,1800
250,250,50,3,1,2,750
565,127,87,3,2,2,2800
350,220,70,2,2,2,3200
690,829,65,3,1,2,1800
300,250,75,3,1,2,1200
320,250,48,2,1,1,850
994,150,70,3,2,3,2395
491,250,160,3,2,3,850
491,321,56,2,1,2,1300
580,250,65,3,1,2,1020
200,250,48,3,1,2,1000
332,200,63,3,2,2,989
320,250,48,2,1,2,1300
763,179,111,3,2,3,4200
491,100,83,2,1,2,940
230,250,48,2,1,1,900
650,120,45,3,1,2,1700
600,190,70,2,1,3,3400
369,190,65,2,1,1,700
400,150,62,3,1,1,1700
460,103,52,2,1,2,2500
785,211,109,2,1,3,5750
1000,312,65,2,1,2,4000
400,440,70,3,1,2,900
350,440,71,3,2,2,3000
370,440,44,2,1,1,1400
491,440,90,3,2,3,900
312,440,60,3,1,2,1405
491,440,50,1,1,1,809
803,440,77,2,1,3,2500
230,440,48,2,1,1,1100
656,285,60,2,1,2,1409
491,150,60,2,1,1,750
1200,450,170,3,2,3,5500
491,110,50,2,1,1,890
250,440,45,1,1,2,1200
656,190,57,2,1,2,1409
380,440,55,2,2,2,649
491,300,62,3,1,2,1100
350,300,60,2,2,1,1300
491,300,90,3,1,2,1500
785,250,68,2,2,2,2600
290,200,50,2,1,1,1100
350,285,45,2,1,1,700
280,463,48,2,1,1,1200
164,300,50,2,1,1,650
491,400,65,2,1,2,2600
340,300,62,3,2,2,1700
805,300,70,2,2,3,2500
491,300,83,2,1,2,940
391,108,62,3,2,2,1400
612,1357,66,2,1,2,3600
278,300,48,2,1,1,1500
250,190,75,3,1,2,850
295,300,44,2,2,2,1100
100,100,65,2,2,2,800
130,300,56,2,1,2,655
180,300,65,4,2,3,1200
491,300,62,2,1,2,1390
180,510,100,3,1,2,1200
491,300,70,2,1,2,3600
180,300,60,2,2,3,2300
650,150,65,2,2,1,2000
180,300,43,2,1,1,650
310,150,49,2,1,2,1600
600,150,48,2,1,1,3500
208,300,45,2,1,1,700
530,156,78,2,2,1,3300
335,150,61,2,1,2,1600
491,300,52,2,1,2,900
468,828,60,3,2,2,1600
588,1104,87,3,2,2,2600
218,300,41,2,1,1,950
446,190,45,2,1,2,1000
502,300,65,3,2,2,1650
350,300,54,3,2,2,1400
360,300,70,3,1,3,1200
448,300,63,3,2,2,809
180,300,55,2,1,2,700
505,300,72,3,2,2,3000
505,320,72,3,2,2,3100
594,671,68,2,2,2,2360
350,150,50,2,1,2,1000
180,300,60,2,1,1,1009
491,300,60,3,1,2,850
550,800,64,3,1,3,1100
218,800,52,2,1,2,1250
180,800,70,2,1,2,800
317,150,62,2,1,1,800
230,800,47,2,1,1,1000
370,800,60,2,1,1,850
180,150,62,2,1,2,950
491,95,68,2,2,2,3080
180,800,64,3,2,2,2350
390,800,63,3,1,2,1310
270,190,45,2,1,1,900
270,800,48,2,1,1,900
400,800,78,3,2,2,600
500,297,54,2,1,2,850
529,73,55,2,1,2,2600
1150,177,160,4,3,3,3000
547,800,106,3,2,3,3300
556,150,53,1,1,1,1800
550,800,65,2,1,2,1700
330,800,51,2,1,2,1250
390,800,65,3,1,2,1600
910,255,90,3,2,3,2800
209,800,43,2,1,1,750
180,800,60,3,1,2,950
800,800,84,3,2,3,2800
370,800,60,2,1,1,750
610,800,60,2,2,2,1600
255,190,50,2,1,1,800
570,800,60,2,2,2,2600
450,800,55,2,1,2,1090
264,150,55,2,2,2,2700
300,800,52,2,2,1,1500
70,800,68,2,1,2,800
350,800,49,2,1,2,900
386,800,48,2,1,1,1500
320,800,48,2,1,2,1200
